datetime,open,high,low,close,volume
2026-04-20 20:30:00,1.1782,1.17856,1.17808,1.17831,1680
2026-04-20 21:00:00,1.17832,1.1789100000000001,1.17826,1.17842,1441
2026-04-20 21:30:00,1.17842,1.17851,1.17781,1.17795,1065
2026-04-20 22:00:00,1.17794,1.17876,1.17791,1.17856,492
2026-04-20 22:30:00,1.17856,1.17881,1.17847,1.17853,879
2026-04-20 23:00:00,1.17853,1.17882,1.17842,1.17851,520
2026-04-20 23:30:00,1.17851,1.17874,1.17829,1.17865,669
2026-04-21 00:00:00,1.17818,1.17834,1.17815,1.17834,55
2026-04-21 00:30:00,1.17829,1.17834,1.1782,1.17824,154
2026-04-21 01:00:00,1.17824,1.17882,1.17823,1.17858,361
2026-04-21 01:30:00,1.17859,1.17897,1.17849,1.17897,1227
2026-04-21 02:00:00,1.17898,1.17905,1.17841,1.17845,349
2026-04-21 02:30:00,1.17845,1.17849,1.17825,1.17836,274
2026-04-21 03:00:00,1.17836,1.17847,1.1781,1.17817,1100
2026-04-21 03:30:00,1.17817,1.1785,1.17801,1.17822,1489
2026-04-21 04:00:00,1.17822,1.17855,1.1781,1.17844,1209
2026-04-21 04:30:00,1.17844,1.1785,1.17789,1.17799,903
2026-04-21 05:00:00,1.17799,1.17817,1.17769,1.17792,702
2026-04-21 05:30:00,1.17791,1.17795,1.17764,1.17787,689
2026-04-21 06:00:00,1.17789,1.17791,1.17738,1.1776200000000001,729
2026-04-21 06:30:00,1.1776200000000001,1.17763,1.17727,1.1775,565
2026-04-21 07:00:00,1.1775,1.17759,1.1773500000000001,1.17756,392
2026-04-21 07:30:00,1.17756,1.1776,1.17741,1.17749,440
2026-04-21 08:00:00,1.1775,1.17816,1.1774499999999999,1.17807,1220
2026-04-21 08:30:00,1.17807,1.17815,1.17775,1.17776,921
2026-04-21 09:00:00,1.17776,1.17795,1.17714,1.1774,1800
2026-04-21 09:30:00,1.17742,1.17761,1.17714,1.1774,1403
2026-04-21 10:00:00,1.1774,1.17764,1.1771,1.17743,2176
2026-04-21 10:30:00,1.17743,1.17746,1.17628,1.17635,1982
2026-04-21 11:00:00,1.17636,1.17656,1.17563,1.17627,2379
2026-04-21 11:30:00,1.17628,1.17664,1.1761,1.17646,1238
2026-04-21 12:00:00,1.17647,1.17647,1.17563,1.17572,1725
2026-04-21 12:30:00,1.17573,1.1762,1.17559,1.1758899999999999,1303
2026-04-21 13:00:00,1.1758899999999999,1.17608,1.17559,1.17572,1114
