datetime,open,high,low,close,volume
2026-04-20 20:30:00,158.748,158.763,158.684,158.749,2439
2026-04-20 21:00:00,158.749,158.759,158.661,158.733,3035
2026-04-20 21:30:00,158.733,158.916,158.73,158.899,3901
2026-04-20 22:00:00,158.9,158.915,158.791,158.813,2182
2026-04-20 22:30:00,158.812,158.846,158.803,158.836,1845
2026-04-20 23:00:00,158.836,158.873,158.827,158.855,2084
2026-04-20 23:30:00,158.855,158.898,158.752,158.752,1733
2026-04-21 00:00:00,158.722,158.761,158.638,158.761,24
2026-04-21 00:30:00,158.761,158.762,158.668,158.7,472
2026-04-21 01:00:00,158.724,158.794,158.707,158.789,288
2026-04-21 01:30:00,158.789,158.806,158.762,158.764,4693
2026-04-21 02:00:00,158.765,158.845,158.75,158.828,1256
2026-04-21 02:30:00,158.829,158.857,158.813,158.844,849
2026-04-21 03:00:00,158.844,158.943,158.828,158.94,2554
2026-04-21 03:30:00,158.941,158.986,158.908,158.944,2685
2026-04-21 04:00:00,158.945,158.968,158.905,158.923,2123
2026-04-21 04:30:00,158.924,158.97,158.923,158.944,2236
2026-04-21 05:00:00,158.943,158.99,158.942,158.967,1036
2026-04-21 05:30:00,158.969,158.983,158.913,158.947,1155
2026-04-21 06:00:00,158.946,158.987,158.924,158.96,1246
2026-04-21 06:30:00,158.96,158.981,158.948,158.981,1113
2026-04-21 07:00:00,158.981,158.985,158.965,158.967,654
2026-04-21 07:30:00,158.967,158.984,158.935,158.951,1596
2026-04-21 08:00:00,158.951,158.953,158.858,158.881,1035
2026-04-21 08:30:00,158.881,158.91,158.841,158.897,995
2026-04-21 09:00:00,158.897,158.908,158.818,158.874,2622
2026-04-21 09:30:00,158.875,158.892,158.787,158.808,3074
2026-04-21 10:00:00,158.808,158.953,158.793,158.908,3455
2026-04-21 10:30:00,158.907,159.015,158.885,159.015,2913
2026-04-21 11:00:00,159.014,159.207,159.01,159.193,3969
2026-04-21 11:30:00,159.193,159.207,159.114,159.167,2565
2026-04-21 12:00:00,159.168,159.249,159.098,159.166,2944
2026-04-21 12:30:00,159.167,159.2,159.145,159.194,1575
2026-04-21 13:00:00,159.194,159.225,159.18,159.195,1756
2026-04-21 13:30:00,159.194,159.2,159.179,159.186,1262
2026-04-21 14:00:00,159.185,159.243,159.169,159.172,2775
2026-04-21 14:30:00,159.172,159.177,159.031,159.038,2255
2026-04-21 15:00:00,159.038,159.134,159.01,159.129,2688
