Id,Date,Time,Name,Impact,Currency,Actual,Deviation,Consensus,Previous,Sentiment
8e76c0c1-ddfd-44df-a1d5-0bff7d04b3ab,01/01/2009,03:00,New Year's Day,NONE,AUD,,,,,ALL DAY
af5f1558-1566-4401-918f-a4b5aa81eb8d,01/01/2009,03:00,New Year's Day,NONE,JPY,,,,,ALL DAY
1e2d783c-40f5-49c6-ac5c-22d1cf56e1cd,01/02/2009,08:30,RBA Commodity Index SDR (YoY) (Dec),LOW,AUD,31.5%,-,-,35%,
08daad84-ee76-4692-8c9d-0178bdeaebbe,01/02/2009,11:00,RBI Interest Rate Decision (Repo Rate),LOW,INR,5.5%,-,-,6.5%,
09120415-77e7-4532-9f9c-a7d71025a9b3,01/02/2009,11:55,HCOB Manufacturing PMI (Dec),MEDIUM,EUR,-,-,-,-,
a351454d-2cc7-4415-84aa-4ad36b6fdebd,01/02/2009,12:00,HCOB Manufacturing PMI (Dec),LOW,EUR,-,-,-,-,
52df3c3a-8d00-4f8d-928b-3f75df8e3bb8,01/02/2009,12:30,Bank of England Credit Conditions Report (QoQ) (Q4),MEDIUM,GBP,-,-,-,-,
91a9139e-f0bc-4781-a1e4-c7f6755ecee6,01/02/2009,12:30,Consumer Credit (Nov),LOW,GBP,£0.75B,-,-,£0.8B,
b9d7486c-6117-4b2a-bd26-a196614e2625,01/02/2009,12:30,M4 Money Supply (MoM) (Nov),LOW,GBP,1.2%,-,-,1.2%,
f97a671f-0306-41d2-8d85-ccee98d04239,01/02/2009,12:30,M4 Money Supply (YoY) (Nov),LOW,GBP,16.6%,-,-,16.3%,
87b6a099-0ecb-49ea-a426-401c9a9ab97a,01/02/2009,12:30,M4 Sterling Lending (Dec),LOW,GBP,£12.1B,-,-,£17.8B,
0153c01b-7cf8-4ad6-8d43-0b862e6e9917,01/02/2009,12:30,Mortgage Approvals (Nov),LOW,GBP,27K,-,-,32K,
2c9d6e18-1b05-48b8-9a60-2c1b758cb99b,01/02/2009,12:30,Net Lending to Individuals (MoM) (Nov),LOW,GBP,£1.6B,-,-,£1.3B,
5f09abed-04d3-40a6-bc8d-4bb1f9f5ed9e,01/02/2009,12:30,S&P Global Manufacturing PMI (Dec),LOW,GBP,-,-,-,-,
fb5d46f5-b26a-49b5-bfe3-53be9d43424e,01/02/2009,13:00,Halifax House Prices (MoM) (Dec),MEDIUM,GBP,-2.2%,-,-,-2.6%,
37293adf-f148-4d5a-b4df-196d3283fc7b,01/02/2009,13:00,Halifax House Prices (YoY/3m) (Dec),MEDIUM,GBP,-16.2%,-,-,-14.9%,
3a8af7de-fef9-4112-b779-c189d0875253,01/02/2009,18:00,ISM Manufacturing PMI (Dec),MEDIUM,USD,32.4,-,-,39,
364b9be9-4a79-48c1-9f59-d00d78212aea,01/05/2009,08:00,Vehicle Sales (YoY) (Dec),LOW,JPY,-16.7%,-,-,-18.2%,
20a2013a-a9af-4dd1-9e89-da177f7f0bf5,01/05/2009,11:30,SVME - Purchasing Managers' Index (Dec),MEDIUM,CHF,36.5,-,-,35.2,
ea8686b2-bb41-4ba6-985f-4411102943b3,01/05/2009,12:30,Sentix Investor Confidence (Jan),LOW,EUR,-34.4,-,-,-42.3,
9433f711-d964-4277-98fb-ac497b2c9f9b,01/05/2009,12:30,S&P Global Construction PMI (Dec),LOW,GBP,-,-,-,-,
8596f765-bc93-4cda-84e4-9cc88baf2011,01/05/2009,18:00,Construction Spending (MoM) (Nov),LOW,USD,-1.2%,0.16,-1.3%,-0.3% ,
32d90e35-4f37-488f-8eba-59121eda1989,01/06/2009,02:30,Monetary Base (YoY) (Dec),LOW,JPY,1.8%,-,-,1.9%,
29884bf8-3c42-4347-935c-52e4447887fe,01/06/2009,10:00,Nationwide Housing Prices s.a (MoM) (Dec),MEDIUM,GBP,-2.5%,-,-1.5%,-0.4%,
8d0c7278-d48e-42b5-bcb6-fcfa76ab0471,01/06/2009,10:05,Nationwide Housing Prices n.s.a (YoY) (Dec),MEDIUM,GBP,-15.9%,-,-14.7%,-13.9%,
