Id,Date,Time,Name,Impact,Currency,Actual,Deviation,Consensus,Previous,Sentiment
cabb60d7-92ae-4363-b92c-e24344a8fe36,01/01/2023,00:00,New Year's Day,NONE,EUR,,,,,ALL DAY
1633ecdc-293e-48c5-bf37-fe11044b5d59,01/01/2023,00:00,New Year's Day,NONE,RUB,,,,,ALL DAY
f9fb10ff-ae9d-4afc-b5e0-93d4ec6f0e25,01/01/2023,00:00,New Year's Day,NONE,TRY,,,,,ALL DAY
36434e82-cee5-497a-9b93-bf6f6148cf5f,01/01/2023,01:00,New Year's Day,NONE,EUR,,,,,ALL DAY
26d7bcca-8650-41f7-b5d9-c1818d1564d2,01/01/2023,01:00,New Year's Day,NONE,CHF,,,,,ALL DAY
54632eef-b5da-4c79-bd07-da862a445f92,01/01/2023,01:00,Restoration Day of the Independent Czech State,NONE,CZK,,,,,ALL DAY
7a640cb4-eac3-4d16-a981-978ec956801b,01/01/2023,01:00,New Year's Day,NONE,EUR,,,,,ALL DAY
efd08107-81c2-4faf-9385-3e2bb4f8ddaa,01/01/2023,01:00,New Year's Day,NONE,DKK,,,,,ALL DAY
101a576d-df00-40f7-b2d4-64c961fce411,01/01/2023,01:00,New Year's Day,NONE,EUR,,,,,ALL DAY
d4a329ec-5743-4e3b-88e7-ad4ba969f16b,01/01/2023,01:00,New Year's Day,NONE,EUR,,,,,ALL DAY
d1950dab-23bf-45e4-bd58-6b9f78943d95,01/01/2023,01:00,New Year’s Day,NONE,RON,,,,,ALL DAY
b1b617f7-5bfd-429c-9a6a-35285f48efea,01/01/2023,01:00,New Year's Day,NONE,SEK,,,,,ALL DAY
90881bfd-c3ca-478b-8d2f-988f3ab7f6a6,01/01/2023,01:00,New Years Day,NONE,ZAR,,,,,ALL DAY
5e466925-0d35-4947-bf25-7b1909e6ab22,01/01/2023,02:00,New Year's Day,NONE,EUR,,,,,ALL DAY
400e0725-0d51-4d21-9b96-704dea571ece,01/01/2023,02:00,New Year's Day,NONE,EUR,,,,,ALL DAY
e8693d74-e5e5-45ec-86d4-fbf304d98a80,01/01/2023,02:00,New Year's Day,NONE,EUR,,,,,ALL DAY
b10a39a6-b412-42be-b7b6-2d7124f2e8c3,01/01/2023,02:00,New Year's Day,NONE,HUF,,,,,ALL DAY
495187ba-bd45-45d3-9566-82644d2c3a70,01/01/2023,02:00,New Year's Day,NONE,EUR,,,,,ALL DAY
e31fe9a6-df12-4f1a-b47e-0d3b91099671,01/01/2023,02:00,New Year's Day,NONE,EUR,,,,,ALL DAY
a74e64cc-d863-480c-826c-2e0e0ddbb39d,01/01/2023,02:00,New Year's Day,NONE,NOK,,,,,ALL DAY
bcae0581-c822-4a24-9b1b-abc2b01ea210,01/01/2023,02:00,New Year's Day,NONE,PLN,,,,,ALL DAY
75f28736-2991-4078-9a4f-cf0102c5e10d,01/01/2023,02:00,New Year's Day,NONE,EUR,,,,,ALL DAY
3b07646a-8ff4-4765-92b6-ddb8cc8e71f6,01/01/2023,02:00,Day of the Establishment of the Slovak Republic,NONE,EUR,,,,,ALL DAY
36f0a48d-8748-43be-8ab9-0a2dc09df86c,01/01/2023,02:00,New Year's Day,NONE,GBP,,,,,ALL DAY
d1ca7c8d-b65d-495d-b1cb-3657f304e34f,01/01/2023,03:00,New Year's Day,NONE,ISK,,,,,ALL DAY
cea3ecc8-ba71-4779-a08b-19d7ea17959a,01/01/2023,03:00,Trade Balance (Dec) PREL,LOW,KRW,$-4.69B,-,-,$-6.99B,
654baa43-a9a3-4014-9246-e85f47a8b017,01/01/2023,06:00,New Year's Day,NONE,BRL,,,,,ALL DAY
