event,time,tWick15,body15,bWick15,tWick14,body14,bWick14,tWick13,body13,bWick13,tWick12,body12,bWick12,tWick11,body11,bWick11,tWick10,body10,bWick10,tWick9,body9,bWick9,tWick8,body8,bWick8,tWick7,body7,bWick7,tWick6,body6,bWick6,tWick5,body5,bWick5,tWick4,body4,bWick4,tWick3,body3,bWick3,tWick2,body2,bWick2,tWick1,body1,bWick1,target,targetSimple,target1,target2
Average Hourly Earnings,2007.06.01 15:30,0,0,10,0,10,0,0,10,10,0,10,0,10,0,0,0,0,10,0,10,0,0,20,0,10,-20,10,0,10,10,0,0,10,0,-30,0,10,0,10,0,10,0,0,10,0,N,N,N,N
ECB Main Refinancing Operations Rate,2007.06.06 14:45,0,-100,50,30,0,10,0,30,20,30,0,10,0,40,0,0,-30,20,0,30,10,0,-40,10,0,20,0,20,10,0,30,0,0,0,-60,10,10,30,0,0,10,0,10,-10,10,N,N,N,N
Goods and Services Trade Balance,2007.06.08 15:30,0,-10,0,0,-20,0,0,-20,10,0,0,10,0,0,10,0,-10,0,0,0,10,0,10,10,0,-10,10,10,-10,0,0,0,0,0,10,0,0,0,10,0,10,0,0,0,0,N,N,N,N
Retail Sales,2007.06.13 15:30,0,20,0,10,0,10,10,0,0,20,0,0,0,-10,0,0,0,10,10,0,20,0,10,10,0,20,0,0,20,0,0,-30,0,10,10,0,10,20,0,0,0,10,0,10,0,N,N,N,N
Consumer Price Index,2007.06.15 15:30,10,10,0,10,-10,0,0,-10,10,0,-10,10,0,0,10,0,-20,0,0,-10,10,10,0,0,0,0,10,10,10,0,10,-10,0,10,0,0,0,-40,10,0,30,10,0,-10,10,D,D,D,D
ZEW Survey – Economic Sentiment,2007.06.19 12:00,0,-10,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,10,0,-10,10,0,10,0,0,0,0,0,0,0,0,20,0,0,10,10,N,N,N,N
IFO – Business Climate,2007.06.22 11:00,0,-10,0,0,0,0,10,0,0,10,10,10,0,30,10,10,20,0,10,10,0,0,-10,0,10,0,10,0,0,0,0,-10,0,10,-10,10,10,0,0,0,-10,10,0,-10,10,N,N,N,N
Fed Interest Rate Decision,2007.06.28 21:15,0,-10,0,0,-10,0,10,0,0,0,-20,10,0,-10,0,0,-10,0,10,-20,0,0,-30,0,0,-10,30,0,10,0,20,0,0,0,-20,0,0,10,10,0,10,10,10,10,10,N,N,N,N
Core Personal Consumption Expenditures - Price Index,2007.06.29 15:30,0,-10,10,0,-10,10,0,10,0,0,-10,0,0,-30,0,0,10,10,0,20,0,10,10,10,0,-10,0,0,30,0,10,0,0,0,-50,0,30,10,20,0,10,0,10,-10,10,N,N,N,N
ECB Main Refinancing Operations Rate,2007.07.05 14:45,0,-30,0,0,-30,30,0,40,0,0,-10,0,0,10,10,0,10,20,0,-10,0,10,-10,10,0,-10,20,0,-30,20,0,20,20,10,10,0,0,10,30,0,-10,10,10,20,20,N,N,N,N
Goods and Services Trade Balance,2007.07.12 15:30,10,20,0,30,10,0,0,0,0,0,10,0,10,20,0,0,-20,0,0,0,10,10,0,0,10,0,20,10,0,0,10,0,0,0,-10,0,0,10,0,10,0,0,0,10,0,N,N,N,N
Retail Sales,2007.07.13 15:30,10,-30,0,0,40,10,10,0,20,10,50,0,10,0,20,40,-20,20,30,-10,0,0,-30,10,30,20,0,0,-60,0,0,-30,10,10,20,20,20,0,0,10,0,0,10,-20,0,D,D,D,D
Consumer Price Index,2007.07.18 15:30,0,0,10,10,-10,10,10,30,0,10,10,10,10,0,0,0,10,0,0,10,0,0,20,0,0,10,0,10,10,0,10,60,0,0,0,10,10,10,0,0,10,0,0,0,10,N,N,N,N
IFO – Business Climate,2007.07.26 11:00,0,-10,20,0,-10,10,0,10,0,0,-20,0,10,0,0,0,0,0,0,0,10,0,0,0,0,-10,0,0,20,0,0,0,0,0,0,0,0,-10,0,0,-10,0,0,-10,0,N,N,N,N
Gross Domestic Product Annualized,2007.07.27 15:30,10,0,10,0,-50,10,10,10,0,0,20,0,10,-20,0,0,0,20,10,-10,0,0,40,0,0,-10,10,0,10,0,0,-10,10,0,-20,30,0,-20,0,10,-20,0,10,10,0,N,N,N,N
Core Personal Consumption Expenditures - Price Index,2007.07.31 15:30,10,10,0,0,10,0,0,0,10,0,0,10,10,0,0,0,0,0,0,-10,0,0,0,10,20,0,10,0,-10,0,0,-20,10,0,-20,0,0,-20,0,0,20,0,0,0,0,N,N,N,N
ECB Main Refinancing Operations Rate,2007.08.02 14:45,0,20,0,10,0,0,0,-10,10,0,10,0,20,0,10,10,0,10,0,-20,0,0,20,0,10,-10,0,10,0,0,0,10,20,0,-10,0,10,10,10,0,20,0,10,0,0,N,N,N,N
Average Hourly Earnings,2007.08.03 15:30,10,0,0,10,-30,0,0,-10,0,0,-10,20,0,50,0,10,0,10,0,50,0,10,-10,10,20,100,0,10,0,30,0,-20,0,0,0,30,0,-50,10,0,0,20,0,-30,0,U,U,U,U
Fed Interest Rate Decision,2007.08.07 21:15,0,10,0,0,-10,0,0,-30,10,0,-10,20,0,0,20,10,30,0,20,10,0,10,0,0,0,20,0,10,-20,0,0,-10,0,0,0,10,10,0,0,10,0,0,0,-30,0,N,N,N,N
Retail Sales,2007.08.13 15:30,0,10,10,10,0,0,0,-10,10,10,0,0,0,20,10,10,0,0,0,20,0,0,0,0,0,-10,10,0,-10,0,0,-50,0,0,-10,20,10,-40,0,10,-10,30,0,20,0,D,D,D,D
Goods and Services Trade Balance,2007.08.14 15:30,0,20,0,0,0,10,0,-20,0,0,-10,10,10,90,0,0,-10,20,0,0,20,0,10,0,0,-20,0,0,-30,10,0,10,0,10,0,0,10,0,0,0,-20,0,0,0,10,N,N,N,N
Consumer Price Index,2007.08.15 15:30,10,0,0,0,-10,0,0,0,0,0,-30,0,10,-10,0,0,10,0,10,0,0,10,10,0,0,-10,20,10,10,0,10,0,10,0,0,10,10,0,10,10,0,10,0,-30,20,N,N,N,N
ZEW Survey – Economic Sentiment,2007.08.21 12:00,0,10,0,10,0,0,10,0,10,0,30,0,10,-20,0,10,0,10,0,10,0,0,30,10,0,10,0,0,-10,0,10,0,0,0,0,0,10,-10,0,10,-10,0,0,-10,0,N,N,N,N
Gross Domestic Product Annualized,2007.08.30 15:30,0,-10,0,10,0,10,0,0,0,10,0,0,0,-20,0,10,0,20,0,-10,20,10,-40,10,10,30,0,0,20,0,10,-10,0,10,0,10,0,-20,20,0,30,10,0,30,0,N,N,N,N
Core Personal Consumption Expenditures - Price Index,2007.08.31 15:30,10,0,10,0,-10,10,0,0,0,0,-10,0,20,0,10,0,-10,10,0,10,0,10,0,10,10,0,10,10,-30,20,10,-10,0,0,-40,10,0,-10,20,20,30,0,10,-10,0,N,N,N,N
ECB Main Refinancing Operations Rate,2007.09.06 14:45,10,0,0,0,-20,0,0,-40,20,10,20,20,0,20,10,0,-20,10,0,-30,0,0,-10,30,10,0,10,0,-20,20,10,30,0,0,20,10,0,-40,0,0,-30,10,10,0,10,N,N,N,N
Average Hourly Earnings,2007.09.07 15:30,20,40,0,10,20,30,0,50,0,10,-10,20,10,20,10,10,50,10,0,-30,0,20,70,0,40,10,20,10,20,0,10,10,0,20,20,10,0,0,30,20,60,0,0,30,0,2U,U,2U,2U
