event,time,tWick15,body15,bWick15,tWick14,body14,bWick14,tWick13,body13,bWick13,tWick12,body12,bWick12,tWick11,body11,bWick11,tWick10,body10,bWick10,tWick9,body9,bWick9,tWick8,body8,bWick8,tWick7,body7,bWick7,tWick6,body6,bWick6,tWick5,body5,bWick5,tWick4,body4,bWick4,tWick3,body3,bWick3,tWick2,body2,bWick2,tWick1,body1,bWick1,target,targetSimple,target1,target2
Nonfarm Payrolls,2013.04.05 15:30,0,22,20,14,-34,0,1,-6,21,2,10,21,9,-1,8,12,14,3,8,32,1,8,-33,0,8,31,0,1,43,2,48,28,0,11,2,3,17,-9,45,0,-23,26,26,-4,12,U,U,U,U
FOMC Minutes,2013.04.10 16:00,4,-6,3,0,-15,5,13,36,3,4,-3,7,12,-32,5,19,-4,8,6,101,0,1,10,34,2,-27,4,10,3,3,9,-2,26,8,-14,3,22,-7,2,6,-4,12,17,19,1,U,U,U,U
Consumer Price Index,2013.04.11 09:00,2,11,0,6,10,0,4,-19,7,6,14,9,5,4,1,1,-48,1,0,10,15,3,-2,4,0,12,0,4,8,6,10,10,0,10,-5,0,12,2,0,0,-3,3,6,12,3,N,N,N,N
ECB Monthly Report,2013.04.11 11:00,5,9,1,0,-15,0,3,18,12,0,-31,0,3,-28,2,2,-14,24,10,0,8,2,-1,18,8,17,2,8,2,3,0,-11,2,0,-7,9,5,-12,2,0,23,1,14,6,0,N,N,N,N
Retail Sales,2013.04.12 15:30,4,15,5,3,-1,9,8,30,0,19,-5,4,0,37,16,22,4,5,0,-12,6,0,-40,10,10,-4,13,11,-7,5,4,5,7,18,3,1,10,3,0,1,-13,11,13,-14,2,N,N,N,N
Michigan Consumer Sentiment Index,2013.04.12 16:55,7,46,2,14,9,2,2,-13,5,4,8,0,1,19,15,28,24,11,1,11,21,31,28,1,22,-11,0,27,6,0,14,-22,3,39,6,1,2,-17,11,0,-23,6,12,4,5,N,N,N,N
Former Fed's Chair Bernanke speech,2013.04.12 19:30,3,1,1,1,-8,5,0,1,0,1,-6,0,15,1,0,2,4,0,0,5,0,5,-1,1,1,-9,0,0,2,1,1,1,1,0,-6,0,1,10,0,3,-8,0,0,1,6,N,N,N,N
Core Harmonized Index of Consumer Prices,2013.04.16 12:00,2,39,5,7,-21,6,1,-13,10,16,-5,5,25,6,1,5,30,13,9,21,9,0,-35,4,0,-23,14,5,14,0,0,-8,5,0,-6,22,10,5,26,5,-20,0,1,25,2,N,N,N,N
Consumer Price Index,2013.04.16 15:30,9,14,0,1,5,9,13,22,1,0,-18,1,4,0,5,29,12,7,13,-3,3,3,-23,9,15,-35,9,14,-18,12,3,7,3,30,44,0,5,-33,1,10,0,13,8,15,5,N,N,N,N
ECB's President Draghi speech,2013.04.16 16:00,8,22,0,0,-13,6,1,6,0,0,27,8,14,45,11,6,29,3,7,1,10,3,-8,15,26,40,2,9,5,4,27,9,0,10,-11,3,3,-16,0,8,11,7,0,-38,5,U,U,U,U
Fed's Beige Book,2013.04.17 21:00,0,12,13,7,3,1,6,6,2,1,33,2,12,-22,2,5,-1,18,1,0,12,22,-4,0,4,-6,1,5,7,3,0,32,3,0,18,12,3,0,10,10,12,1,2,28,2,N,N,N,N
Italian Parliament will elect the new president,2013.04.18 00:00,2,10,0,0,1,1,6,1,2,1,1,6,1,2,0,4,-23,4,0,-4,6,0,-13,1,5,6,2,3,-7,4,0,-10,0,5,4,0,4,-2,2,0,3,0,0,2,3,N,N,N,N
Durable Goods Orders,2013.04.24 15:30,0,-28,27,21,2,1,4,19,3,6,59,1,2,-2,13,2,-25,10,0,44,4,7,21,0,2,0,11,20,13,5,0,8,10,0,-44,0,0,22,0,10,3,24,7,-11,5,N,N,N,N
Gross Domestic Product Annualized,2013.04.26 15:30,10,20,0,13,-6,0,5,-10,0,0,3,7,7,-6,6,10,-2,7,12,0,6,9,20,0,2,27,0,2,-11,2,5,-6,25,9,1,21,13,-3,1,8,4,0,8,-73,2,N,N,N,N
Consumer Price Index,2013.04.29 15:00,15,0,2,0,-31,21,9,-7,10,0,41,1,7,-51,2,3,30,2,0,-39,1,12,-1,4,2,12,1,13,-1,0,8,-6,1,2,-51,0,22,-11,2,19,10,0,9,26,2,N,N,N,N
Core Personal Consumption Expenditures - Price Index,2013.04.29 15:30,0,-2,15,3,-8,0,0,28,0,18,-13,0,4,15,0,5,-12,0,18,-7,3,2,24,2,12,-6,8,8,6,0,1,-27,1,2,17,1,0,-19,43,1,33,9,0,-24,2,N,N,N,N
Unemployment Change,2013.04.30 10:55,18,2,2,2,10,12,5,2,1,1,-14,5,1,-11,1,1,-16,17,13,-2,2,0,-11,14,0,17,3,12,-20,0,30,10,48,0,59,2,3,-19,3,14,36,0,1,-7,20,N,N,N,N
Unemployment Rate,2013.04.30 12:00,5,-2,2,3,11,9,1,19,11,11,40,10,2,3,11,0,-12,3,10,25,2,6,0,14,5,-13,0,0,-3,11,8,8,0,0,-10,0,0,8,6,0,-21,0,5,-14,1,N,N,N,N
Consumer Confidence,2013.04.30 17:00,0,-35,0,19,-5,4,7,-22,0,29,-16,5,1,133,4,2,-31,24,0,-36,4,0,-38,18,3,-55,3,5,24,0,25,8,0,1,-37,3,11,0,24,3,-12,0,0,-1,16,D,D,D,D
ISM Manufacturing PMI,2013.05.01 17:00,31,-21,0,20,-1,13,4,-23,0,0,22,7,3,-23,4,5,11,16,11,12,0,0,-21,1,1,-20,0,3,10,1,0,30,0,13,0,13,6,-26,0,0,10,1,7,2,4,N,N,N,N
Fed Interest Rate Decision,2013.05.01 21:00,0,-37,10,9,-4,8,3,3,1,7,-2,3,21,7,2,14,-34,2,9,14,0,4,3,0,0,-7,1,0,-12,0,1,-19,0,1,-16,10,6,-13,1,3,3,10,1,-27,0,D,D,D,D
ECB Main Refinancing Operations Rate,2013.05.02 14:45,38,-59,17,20,209,14,94,-58,1,36,106,18,13,-156,0,69,-45,21,31,23,29,0,-92,25,32,-36,56,27,26,0,0,-30,25,0,-60,0,0,-79,2,10,42,33,1,-86,22,4D,D,4D,4D
ECB Press Conference,2013.05.02 15:30,1,-36,34,0,-24,38,0,-93,11,25,20,7,2,28,30,3,-80,7,8,10,36,6,50,2,16,52,0,22,18,9,0,23,42,10,-13,13,24,-27,3,18,9,7,24,42,0,D|U,D,D|U,D|U
Producer Price Index,2013.05.03 12:00,7,10,0,21,10,0,4,-2,7,1,3,0,0,-2,9,32,0,6,2,-1,17,7,-11,0,3,10,0,27,-1,2,13,-4,0,3,0,10,0,24,7,3,9,0,1,17,0,N,N,N,N
Nonfarm Payrolls,2013.05.03 15:30,14,-19,5,8,-2,10,3,28,0,8,22,13,22,3,9,0,66,0,19,112,0,6,-35,3,30,-1,18,20,-27,4,1,36,10,21,73,0,22,58,8,3,15,39,45,162,0,5U,U,5U,5U
Retail Sales,2013.05.06 12:00,2,21,2,2,-10,10,0,1,0,1,18,0,0,-11,1,0,-8,1,9,-2,1,5,-5,3,1,-6,6,2,22,0,4,11,0,1,-22,4,1,6,0,0,-9,2,0,-2,0,N,N,N,N
ECB's President Draghi speech,2013.05.06 16:00,1,-1,5,0,-9,0,0,-27,4,1,-24,5,8,-15,1,3,16,0,2,-5,3,4,7,4,0,-11,6,13,20,0,3,-1,9,4,-12,0,4,29,0,3,-7,8,0,-14,6,N,N,N,N
Retail Sales,2013.05.13 15:30,18,40,0,67,5,0,39,-9,1,0,-19,9,6,-20,3,0,-43,2,18,23,0,14,7,3,19,-41,1,10,6,6,0,49,0,0,-25,17,10,10,29,7,-1,1,11,43,0,N,N,N,N
Consumer Price Index,2013.05.14 09:00,0,-5,1,1,2,6,1,13,5,2,1,6,2,18,0,13,31,1,1,-17,10,2,2,17,5,-1,9,4,20,2,5,-16,0,18,16,1,11,5,0,1,27,2,19,12,10,U,U,U,U
ZEW Survey – Economic Sentiment,2013.05.14 12:00,5,-95,2,2,47,0,0,-31,15,1,26,0,0,-16,6,0,-74,44,8,6,13,3,24,2,3,-8,9,5,3,13,3,1,16,1,12,14,12,-7,16,24,2,1,15,3,3,D,D,D,D
Gross Domestic Product,2013.05.15 09:00,0,-11,2,0,-5,16,0,-9,19,0,-40,1,3,-49,26,0,-34,20,1,-9,30,12,12,4,5,17,3,0,28,1,7,25,0,4,-34,0,17,-32,21,11,12,10,0,31,16,N,N,N,N
Gross Domestic Product s.a.,2013.05.15 12:00,4,25,0,12,8,1,0,-39,2,5,13,3,4,-37,2,10,-25,1,3,18,5,8,22,4,4,-15,2,3,0,19,3,-17,16,7,14,14,8,4,6,17,9,0,5,-39,10,N,N,N,N
Core Harmonized Index of Consumer Prices,2013.05.16 12:00,2,7,3,0,2,5,0,7,10,5,24,0,0,-20,7,11,32,1,0,25,2,0,-14,3,1,-20,5,1,-12,3,8,-16,0,1,-32,1,28,-2,2,9,14,0,20,2,16,N,N,N,N
Consumer Price Index,2013.05.16 15:30,24,3,2,0,-8,24,21,-1,12,18,3,13,24,17,4,3,16,2,16,0,10,6,1,12,5,-23,2,11,2,9,3,32,6,3,-22,7,14,0,0,8,4,0,0,-21,0,N,N,N,N
Producer Price Index,2013.05.21 09:00,5,1,0,4,0,1,2,1,0,2,-7,7,4,3,0,5,6,0,2,1,2,1,19,0,15,13,0,2,-9,0,2,-6,0,0,-10,2,12,-11,1,7,41,0,1,6,2,N,N,N,N
FOMC Minutes,2013.05.22 21:00,9,23,0,8,22,14,12,-6,2,0,-20,9,5,27,3,6,22,4,32,24,1,0,8,5,10,-19,0,0,-61,0,11,-2,1,3,5,16,6,-11,9,3,28,0,0,-14,2,N,N,N,N
ECB's President Draghi speech,2013.05.23 22:30,5,9,0,2,-6,1,0,9,0,1,0,0,0,6,3,0,12,0,0,2,0,2,28,0,6,-13,0,4,-3,2,0,-6,0,0,4,0,9,0,6,2,4,0,4,8,0,N,N,N,N
Durable Goods Orders,2013.05.24 15:30,15,2,7,34,47,1,32,13,0,21,-12,2,40,-13,7,18,55,0,24,-6,17,9,1,22,21,0,23,13,32,0,13,-18,3,9,39,3,0,-45,8,0,21,8,0,-33,11,U,U,U,U
Consumer Confidence,2013.05.28 17:00,3,-52,30,0,26,31,18,-47,6,4,-49,31,2,-68,4,0,6,32,7,24,1,1,-8,19,0,36,0,23,13,2,18,-34,8,7,25,1,0,-16,39,7,6,9,17,3,7,N,N,N,N
Unemployment Change,2013.05.29 10:55,17,1,12,13,0,7,6,-9,1,3,4,12,0,-15,0,0,33,7,0,58,1,0,-22,13,10,-1,9,0,16,10,6,-24,4,8,-59,7,17,19,7,0,29,10,13,10,13,N,N,N,N
Consumer Price Index,2013.05.29 15:00,12,9,10,2,-9,23,18,12,0,0,-23,0,3,31,0,23,-2,6,3,-19,19,2,-8,12,2,-35,7,21,12,3,3,-98,21,0,31,3,0,-37,12,0,32,0,8,-38,0,D,D,D,D
Gross Domestic Product Annualized,2013.05.30 15:30,38,41,3,3,24,3,0,-12,17,36,120,3,12,10,29,48,147,7,23,40,5,24,-75,2,4,-22,13,0,-13,26,47,0,7,10,-16,10,6,-19,1,0,-36,0,0,42,0,U|D,U,U|D,U|D
Core Harmonized Index of Consumer Prices,2013.05.31 12:00,7,-2,7,35,39,0,5,19,0,4,1,8,0,-61,1,18,-3,13,13,12,3,2,12,5,17,-24,2,7,-38,7,0,-33,11,0,-28,0,0,-5,28,0,5,11,6,4,7,D,D,D,D
ISM Manufacturing PMI,2013.06.03 17:00,7,35,0,10,-6,8,12,-9,0,2,-2,10,0,-39,4,10,11,6,15,-6,6,10,-6,1,0,-5,22,7,-4,24,13,18,1,0,29,8,13,7,4,7,106,0,14,37,26,U,U,U,U
Gross Domestic Product s.a.,2013.06.05 12:00,5,-11,6,14,-16,1,3,18,1,7,-1,1,15,-8,1,3,26,0,7,9,0,0,11,4,0,-23,3,4,11,6,0,-7,2,0,24,1,0,-1,8,0,-11,5,1,11,9,N,N,N,N
ECB Main Refinancing Operations Rate,2013.06.06 14:45,4,30,2,0,0,32,4,-33,6,4,-11,0,45,23,0,24,59,10,10,2,11,17,16,0,30,16,12,5,19,0,0,-24,0,0,-15,0,4,-11,6,9,-4,0,4,-5,2,U,U,U,U
ECB Press Conference,2013.06.06 15:30,10,12,3,3,28,5,8,-6,13,0,-11,1,0,-26,2,29,7,0,3,-10,10,9,-166,2,106,79,30,21,14,61,43,45,28,21,114,3,61,40,27,6,130,2,27,18,16,D|4U,D,D|4U,D|4U
Nonfarm Payrolls,2013.06.07 15:30,13,-47,1,5,30,9,1,46,6,2,-14,14,0,-106,6,0,-96,95,6,-80,64,0,68,32,2,168,42,107,115,12,0,-242,5,55,-18,51,68,-52,28,107,-39,32,43,-26,0,3D|4U|3D,D,3D|4U|3D,3D|4U|3D
Germany Constitutional Court ruling on OMT Bond Buying,2013.06.11 00:00,0,-10,2,3,-3,5,0,7,0,1,1,0,3,6,1,1,2,3,0,-4,2,1,3,0,3,-3,0,0,2,1,1,-2,2,2,0,1,2,1,1,1,-5,0,6,1,4,N,N,N,N
Germany Constitutional Court ruling on OMT Bond Buying,2013.06.12 00:00,0,5,8,0,10,1,1,8,0,6,-2,2,3,2,1,0,-9,0,5,-1,3,0,-18,9,2,-1,2,1,0,0,1,-19,0,3,1,2,9,23,0,0,-1,1,0,-3,0,N,N,N,N
Consumer Price Index,2013.06.12 09:00,1,-12,3,2,21,2,3,13,6,3,-15,0,1,10,5,6,-1,10,0,22,4,3,-4,9,2,20,0,2,6,9,6,17,2,1,1,0,0,-2,12,3,0,8,1,13,2,N,N,N,N
ECB Monthly Report,2013.06.13 11:00,16,-1,9,2,10,17,8,5,11,1,-29,18,0,4,18,3,-3,22,0,-42,14,3,-10,13,18,-2,0,6,29,0,6,2,18,3,5,10,10,7,4,2,-12,4,9,1,5,N,N,N,N
Retail Sales,2013.06.13 15:30,2,-7,12,8,11,3,0,-12,7,4,11,3,29,6,0,0,-178,29,8,17,20,1,-100,0,0,88,0,19,41,5,28,-10,17,7,18,8,38,10,14,18,104,0,9,-41,9,2D|U,D,2D|U,2D|U
Core Harmonized Index of Consumer Prices,2013.06.14 12:00,3,-9,2,12,-9,0,2,15,7,0,-25,0,15,12,0,3,2,11,3,2,8,6,-1,0,2,-7,3,2,6,2,0,6,18,5,-7,0,2,-1,6,4,14,0,1,9,0,N,N,N,N
ECB's President Draghi speech,2013.06.18 09:00,4,8,1,2,-42,0,7,5,2,1,12,0,2,23,0,0,-20,1,3,20,0,8,-5,4,2,5,0,13,12,4,0,-13,2,16,24,0,8,9,1,3,-9,0,0,20,1,N,N,N,N
Consumer Price Index,2013.06.18 15:30,1,17,0,0,29,4,18,25,0,1,-6,3,10,5,5,0,-8,11,2,21,2,18,0,0,12,-7,5,2,12,8,7,-40,4,2,8,11,1,0,19,1,-8,3,10,11,11,N,N,N,N
FOMC Economic Projections,2013.06.19 21:00,67,-2,0,4,-71,65,14,-17,3,69,19,0,0,44,48,15,-23,27,23,91,3,26,4,15,23,24,12,4,28,1,11,2,2,0,-88,0,14,-41,3,4,62,10,3,-24,17,U|D,U,U|D,U|D
Fed's Monetary Policy Statement and Press Conference,2013.06.19 21:30,7,17,9,0,-14,11,12,3,8,9,38,0,46,-6,14,6,-31,0,12,14,1,1,-5,10,18,-6,5,0,-5,21,6,31,11,4,43,7,5,19,12,18,18,3,1,-93,1,N,N,N,N
ECB's President Draghi speech,2013.06.25 15:15,11,76,1,0,38,30,1,-10,9,1,12,19,14,-1,9,24,-4,18,1,-11,10,19,11,17,11,-30,8,12,18,0,45,19,0,8,11,11,3,-7,13,17,-37,2,13,8,3,N,N,N,N
ECB's President Draghi speech,2013.06.26 10:30,2,-10,12,5,15,0,12,-16,7,5,-28,7,0,-74,2,0,-16,30,1,23,17,11,-11,5,11,4,1,2,-3,14,3,-20,0,0,-44,24,2,46,1,4,3,20,4,3,6,N,N,N,N
Gross Domestic Product Annualized,2013.06.26 15:30,0,-57,4,18,-15,11,0,-11,10,2,0,13,15,12,1,17,-5,2,3,-31,1,4,-13,1,3,10,0,7,5,1,3,-28,6,11,-5,21,23,2,13,16,-4,11,0,-11,8,N,N,N,N
Unemployment Change,2013.06.27 10:55,14,47,0,9,8,5,7,-27,3,13,-1,0,0,23,1,32,-26,0,0,36,9,3,-29,3,8,12,0,20,4,0,8,-17,0,3,13,5,11,-15,3,9,2,1,0,24,1,N,N,N,N
Consumer Price Index,2013.06.28 15:00,8,12,3,0,-9,15,7,22,8,9,1,1,2,3,2,14,2,4,8,-2,8,6,47,2,2,-7,7,0,-6,10,18,-2,12,0,9,1,0,8,4,0,-11,5,0,-24,1,N,N,N,N
Core Harmonized Index of Consumer Prices,2013.07.01 12:00,7,7,7,0,-30,8,0,-20,3,9,-4,8,5,-2,4,4,10,6,0,12,9,2,1,8,7,-13,0,0,-10,0,11,15,0,1,-2,9,2,2,8,0,-3,5,1,14,1,N,N,N,N
ECB Main Refinancing Operations Rate,2013.07.04 14:45,38,25,45,0,34,40,12,64,0,21,-8,14,13,-105,11,8,-109,4,44,-22,44,0,51,53,69,-30,0,15,28,39,8,25,47,0,-39,32,18,13,25,41,-47,12,27,-14,13,D,D,D,D
ECB Press Conference,2013.07.04 15:30,11,-8,2,3,5,29,3,39,0,23,58,1,6,51,7,13,-15,0,16,33,4,0,-60,2,23,-19,0,1,-23,13,0,-30,26,6,4,11,5,-22,1,9,9,19,3,-10,11,D,D,D,D
Nonfarm Payrolls,2013.07.05 15:30,8,66,2,32,21,11,14,-47,8,11,21,17,8,46,0,9,-13,18,26,-8,0,12,-2,20,11,-14,0,2,26,4,9,25,5,19,-9,0,0,-58,0,18,-3,4,3,-30,1,N,N,N,N
ECB's President Draghi speech,2013.07.08 15:30,4,-10,3,9,1,7,3,7,18,10,-8,3,13,-3,9,1,30,5,11,1,18,0,11,9,5,-16,2,7,9,4,3,7,5,40,28,0,19,-11,10,5,-14,3,8,-14,1,U,U,U,U
ECB's President Draghi speech,2013.07.08 16:30,19,10,0,0,15,3,16,3,5,0,12,14,0,-3,6,2,30,1,0,30,12,22,-16,1,12,0,10,0,0,10,0,-18,3,2,27,3,7,-1,3,6,39,5,2,-21,1,N,N,N,N
FOMC Minutes,2013.07.10 21:00,0,14,21,1,-9,27,6,-52,3,13,-24,21,28,70,1,15,-10,28,23,11,0,12,73,8,1,6,37,26,-54,11,17,-8,14,15,5,18,14,-6,1,4,58,18,0,-29,0,U,U,U,U
ECB Monthly Report,2013.07.11 11:00,0,-6,9,10,1,8,0,17,4,2,11,4,5,-7,0,7,-7,6,3,18,2,28,3,2,13,-25,0,1,-6,2,3,11,0,0,25,0,11,2,0,5,-7,18,3,-15,14,N,N,N,N
Michigan Consumer Sentiment Index,2013.07.12 16:55,3,11,1,0,-25,30,7,-17,0,5,-2,1,10,8,11,2,5,7,7,4,6,6,-12,0,0,41,6,29,-32,18,0,23,0,3,-6,0,1,-3,13,6,12,9,4,17,11,N,N,N,N
Retail Sales,2013.07.15 15:30,7,-19,1,1,-7,24,22,-6,0,0,65,2,2,-23,2,3,8,18,1,-35,0,8,-3,23,2,3,3,5,3,1,2,20,10,0,40,10,0,29,15,17,7,12,0,-9,10,N,N,N,N
Core Harmonized Index of Consumer Prices,2013.07.16 12:00,6,17,8,0,-41,2,0,-12,1,9,1,4,3,0,14,0,-24,0,4,24,0,0,-30,6,5,16,2,9,22,0,0,10,3,5,15,0,3,13,0,2,-3,5,3,-25,6,N,N,N,N
Consumer Price Index,2013.07.16 15:30,4,40,2,14,9,1,30,14,10,4,-5,20,7,-7,13,13,10,12,0,42,0,0,-33,10,0,-23,0,4,5,14,2,20,13,27,16,15,11,6,4,0,-48,4,10,-3,14,N,N,N,N
Former Fed's Chair Bernanke speech,2013.07.17 17:00,0,-76,0,2,-26,24,16,83,12,31,-23,0,10,-26,4,10,-2,56,2,28,26,14,62,1,0,26,21,22,-24,26,6,10,26,8,22,13,31,34,29,9,13,8,14,-22,0,U,U,U,U
Fed's Beige Book,2013.07.17 21:00,11,12,1,3,-34,7,11,0,5,1,1,9,2,23,1,12,21,4,3,-3,3,2,5,2,11,-7,0,0,-2,4,3,-2,0,2,1,3,0,23,0,0,19,3,7,-13,8,N,N,N,N
Former Fed's Chair Bernanke speech,2013.07.18 17:00,0,12,15,1,-19,8,3,-15,16,7,16,0,20,-16,0,14,8,8,15,4,23,10,-29,0,0,-19,2,5,3,16,18,5,11,0,17,0,7,4,7,8,1,1,2,25,6,N,N,N,N
Durable Goods Orders,2013.07.25 15:30,1,-16,7,7,-23,0,4,-22,15,2,11,28,0,16,5,0,4,8,9,16,7,0,-5,20,8,-2,20,17,-7,0,0,33,0,9,5,2,4,11,2,0,-14,6,0,27,5,N,N,N,N
Consumer Price Index,2013.07.30 15:00,0,-4,1,6,-2,0,4,-8,2,6,7,0,6,11,7,8,19,0,1,-9,5,0,-2,11,9,10,2,0,60,2,0,-35,5,14,-2,0,14,-10,9,18,0,4,0,12,10,N,N,N,N
Unemployment Change,2013.07.31 10:55,8,1,2,0,-8,25,0,-31,0,1,13,3,10,3,0,0,-11,11,2,20,0,2,-7,1,1,-8,3,4,5,7,3,13,4,6,-35,0,9,9,0,0,-40,0,0,-7,32,D,D,D,D
Core Harmonized Index of Consumer Prices,2013.07.31 12:00,28,9,5,5,-14,0,7,-13,11,7,-18,0,0,10,19,2,9,11,11,1,6,1,6,5,9,-11,2,0,-21,1,2,4,3,3,8,5,0,-14,0,9,4,0,2,23,2,N,N,N,N
Gross Domestic Product Annualized,2013.07.31 15:30,10,-7,1,0,-7,6,3,9,3,12,-1,5,5,10,1,17,-13,0,6,-31,4,14,-12,8,3,-40,4,0,17,5,18,-3,5,13,-25,0,6,-27,11,2,19,15,20,-7,1,D,D,D,D
Fed Interest Rate Decision,2013.07.31 21:00,0,69,0,6,-14,7,9,-4,6,1,-15,11,0,39,18,38,27,0,27,-14,0,0,-66,2,22,6,0,27,21,0,9,-7,11,40,12,14,4,-12,7,8,-30,0,20,14,1,N,N,N,N
ECB Main Refinancing Operations Rate,2013.08.01 14:45,0,104,39,22,63,0,34,-53,11,55,18,25,0,-52,36,86,-213,2,13,136,51,6,88,32,19,-19,39,0,155,2,5,-58,2,32,-25,14,39,31,2,38,-9,13,27,12,9,2D|3U|D,D,2D|3U|D,2D|3U|D
ECB Press Conference,2013.08.01 15:30,5,-18,2,1,-9,21,3,26,1,0,154,2,54,3,3,14,-10,15,61,58,0,0,8,31,23,17,6,7,-56,0,18,-11,0,23,3,3,1,-8,8,2,31,3,10,-38,3,U,U,U,U
ISM Manufacturing PMI,2013.08.01 17:00,10,8,6,1,33,0,2,29,11,14,-11,5,10,0,11,1,-9,11,5,-3,4,5,-16,0,11,-1,1,9,-10,0,9,5,0,14,-2,5,3,5,0,3,-13,6,9,11,0,N,N,N,N
Nonfarm Payrolls,2013.08.02 15:30,3,-16,1,0,42,4,38,2,8,19,50,12,0,-21,5,14,5,6,1,-4,20,23,-1,17,5,6,35,20,-1,19,1,80,21,0,36,49,0,-7,30,32,-7,3,10,0,1,U,U,U,U
ECB Monthly Report,2013.08.08 11:00,0,19,2,1,13,0,3,4,2,2,-17,0,8,-1,14,2,24,4,7,10,0,4,-4,12,0,-2,0,1,7,2,0,-25,1,6,7,1,2,-3,2,3,-2,3,5,2,11,N,N,N,N
Consumer Price Index,2013.08.13 09:00,0,-23,0,1,-4,0,3,9,7,9,-4,1,8,0,2,12,4,0,0,-3,6,1,10,2,10,1,2,2,-5,3,5,-3,3,0,-31,1,0,24,5,2,2,2,1,-4,10,N,N,N,N
ZEW Survey – Economic Sentiment,2013.08.13 12:00,1,-5,5,8,-1,0,0,-9,2,5,-3,4,0,8,0,3,5,0,1,13,1,8,-11,0,3,-12,2,1,5,5,1,1,11,0,-2,2,0,-16,3,1,-13,0,2,-8,0,N,N,N,N
Retail Sales,2013.08.13 15:30,7,5,2,5,-23,3,5,32,0,5,8,8,2,-35,2,0,-37,2,30,17,0,6,1,15,10,-27,0,14,-29,30,20,19,1,16,17,1,0,11,14,28,-38,0,22,17,8,D,D,D,D
Gross Domestic Product,2013.08.14 09:00,0,25,9,3,-1,14,0,15,4,4,-9,5,5,3,1,4,-6,4,3,3,5,0,-25,2,3,-4,6,1,-9,9,9,-9,0,8,4,7,0,-4,3,4,13,2,1,13,3,N,N,N,N
Gross Domestic Product s.a.,2013.08.14 12:00,3,21,2,0,-14,3,0,11,0,8,0,1,0,2,2,1,-16,7,8,3,1,1,7,4,4,29,0,3,3,1,7,6,2,0,-7,11,5,10,1,1,-6,1,3,0,1,N,N,N,N
Consumer Price Index,2013.08.15 15:30,0,-14,3,2,-16,13,0,-21,4,0,-13,5,2,-8,2,10,20,0,11,13,0,0,11,13,3,-28,6,2,-11,9,6,21,1,7,-29,10,13,-4,16,7,0,26,8,14,12,N,N,N,N
Michigan Consumer Sentiment Index,2013.08.16 16:55,0,32,2,3,6,10,3,7,5,1,12,4,6,-5,0,0,-6,17,0,15,4,9,16,0,3,-15,4,1,-14,17,8,37,2,9,-24,5,3,-7,6,2,-14,5,1,-16,2,N,N,N,N
FOMC Minutes,2013.08.21 21:00,19,-22,7,0,38,0,2,-13,7,6,15,0,0,-85,24,11,-10,13,0,-9,67,6,-33,10,8,4,0,5,18,4,19,-14,8,9,10,22,8,-4,0,10,5,0,8,70,2,N,N,N,N
Jackson Hole Symposium,2013.08.22 03:00,0,-9,1,0,-1,0,1,0,0,0,-14,0,0,1,2,0,-2,5,0,-9,0,2,0,1,8,0,1,1,-1,1,0,0,1,3,6,0,0,-5,2,4,-1,1,8,7,0,N,N,N,N
Jackson Hole Symposium,2013.08.23 03:00,10,3,10,3,-10,0,1,0,1,1,12,2,9,10,0,0,10,0,4,12,0,0,-4,1,0,-20,1,9,-13,0,7,1,0,3,-7,0,2,2,20,2,-11,7,5,4,4,N,N,N,N
Gross Domestic Product,2013.08.23 09:00,0,-5,8,6,2,5,3,-3,0,2,-14,0,5,1,10,0,-36,5,10,10,7,4,15,9,1,15,2,5,-2,6,2,-14,0,2,0,6,5,-3,0,6,-1,1,1,5,6,N,N,N,N
Unemployment Change,2013.08.29 10:55,0,-22,4,8,-16,0,6,-23,0,1,2,6,0,-11,7,3,-22,8,11,6,6,10,5,0,4,6,0,0,-18,4,11,28,2,11,8,6,0,-2,10,5,0,9,11,-3,0,N,N,N,N
Consumer Price Index,2013.08.29 15:00,0,-16,8,0,-18,4,2,-14,5,1,28,4,1,-44,0,8,18,0,10,-14,19,8,24,0,0,9,14,11,9,5,0,37,12,10,10,21,3,-14,5,0,-14,8,3,12,5,U,U,U,U
Gross Domestic Product Annualized,2013.08.29 15:30,5,0,8,0,-30,1,9,1,1,3,-33,1,8,-11,2,9,-5,5,0,-19,14,7,9,0,0,9,3,0,-10,10,1,8,14,5,-18,0,0,24,2,1,-3,6,0,-7,12,N,N,N,N
Fed's Bullard speech,2013.08.30 02:45,0,-10,5,1,-2,0,1,-1,4,0,-9,2,2,7,6,2,-2,4,3,-3,0,5,-8,0,2,0,1,2,2,2,1,-4,0,0,2,0,3,13,0,2,1,3,10,11,0,N,N,N,N
ISM Manufacturing PMI,2013.09.03 17:00,11,-2,6,4,9,12,9,-19,1,0,-1,15,17,-7,4,1,6,12,7,22,1,4,-13,3,3,11,0,2,-9,3,0,-19,4,7,-8,1,2,18,1,1,10,0,7,2,1,N,N,N,N
Gross Domestic Product s.a.,2013.09.04 12:00,8,0,0,7,6,6,5,-4,3,7,5,6,2,6,10,0,-5,6,5,5,6,5,8,3,0,4,4,1,-11,0,0,-5,4,0,-2,6,0,-10,4,2,-5,1,0,-1,1,N,N,N,N
