Id,Date,Time,Name,Impact,Currency,Actual,Deviation,Consensus,Previous,Sentiment
6970755c-e5d2-4b7f-807a-6d3d9ad2cb8a,01/02/2008,11:55,HCOB Manufacturing PMI (Dec),LOW,EUR,-,-,53.3,-,
45c9e345-d4f4-420b-bc2a-117212b8e46e,01/02/2008,12:00,HCOB Manufacturing PMI (Dec),LOW,EUR,-,-,52.5,-,
5dc261c8-1d75-47b1-a911-29f139c488fa,01/02/2008,12:30,S&P Global Manufacturing PMI (Dec),MEDIUM,GBP,-,-,53.9,54.4,
903011ef-66c8-439f-9210-4ad028923c0f,01/02/2008,18:00,Construction Spending (MoM) (Nov),LOW,USD,0.1%,-,-0.4%,-0.8%,
4284a885-a3c7-495d-aa5b-be53f46c5828,01/02/2008,18:00,ISM Manufacturing PMI (Dec),MEDIUM,USD,48.4,-,50.5,50.8,
9c023977-f8ff-4adf-9fdb-e874b2613dad,01/02/2008,22:00,FOMC Minutes,MEDIUM,USD,,,,,REPORT
7f03536b-e438-4d69-b9ad-c7654815b5a8,01/03/2008,11:30,SVME - Purchasing Managers' Index (Dec),LOW,CHF,60.8,-,61.5,63.4,
93ea5629-3e62-4d1b-b1a4-753963c0ede8,01/03/2008,11:55,Unemployment Rate s.a. (Dec),MEDIUM,EUR,8.3%,-,8.5%,8.6%,
622e870f-09ab-4c45-a300-435e0ed3cedc,01/03/2008,12:00,M3 Money Supply (YoY) (Nov),LOW,EUR,12.3%,-,12.2%,12.3%,
53e3238a-b012-4f7a-87cf-d7e8195f4601,01/03/2008,12:30,S&P Global Construction PMI (Dec),LOW,GBP,-,-,53.5,-,
24056738-8ea3-40a0-8595-016bdbe375df,01/03/2008,15:00,MBA Mortgage Applications,NONE,USD,-11.6%,-,-,-7.6%,
0e211fbd-027b-4545-89b1-5aa23e79b42f,01/03/2008,16:15,ADP Employment Change (Dec),LOW,USD,37K,-,50K,189K,
76b6e3a4-e8fd-43d7-9181-dbdf037e8d6f,01/03/2008,16:30,Continuing Jobless Claims,LOW,USD,2.754M,-,-,2.713M,
9652d7bf-6e3b-4419-a535-a9fe067022cf,01/03/2008,16:30,Initial Jobless Claims,LOW,USD,337K,-,345K,349K,
0b7eeffb-8eb8-4c41-be18-6774792f43a6,01/03/2008,18:00,Factory Orders (MoM) (Dec),MEDIUM,USD,1.7%,-,1%,0.5% ,
6ab2cd43-3a36-4516-a780-5c73a88c33de,01/04/2008,09:45,Consumer Price Index (MoM) (Dec),MEDIUM,CHF,0.2%,-,0.5%,0.5%,
c8debf65-185c-4c3a-ab33-eb4d4fd2a137,01/04/2008,09:45,Consumer Price Index (YoY) (Dec),MEDIUM,CHF,2%,-,1.8%,1.8%,
aac94b0d-c560-4076-b247-76dc6b26e887,01/04/2008,11:55,HCOB Services PMI (Dec),NONE,EUR,-,-,52.4,-,
14112010-54e4-4f14-8b68-18c2d4b1ea05,01/04/2008,12:00,HCOB Services PMI (Dec),LOW,EUR,-,-,53.2,-,
c4289bb9-8473-4370-b1c2-dd4ed9275fdd,01/04/2008,12:30,M4 Money Supply (MoM) (Nov),LOW,GBP,0.6%,-,-,0.1%,
cface462-91fd-4701-8b1d-c9610f87cbfc,01/04/2008,12:30,M4 Money Supply (YoY) (Nov),LOW,GBP,11.6%,-,-,11.1%,
404f9658-2b1f-4619-82c9-67fe7e4e3442,01/04/2008,12:30,Mortgage Approvals (Nov),LOW,GBP,81K,-,83K,88K,
ec4cee4d-4f5a-4b5f-b922-0ef4f090377f,01/04/2008,12:30,Net Lending to Individuals (MoM) (Nov),LOW,GBP,£9.2B,-,-,£8.8B,
21247c1f-f7a3-4102-a3f5-e2aee4816b45,01/04/2008,12:30,S&P Global Services PMI (Dec),MEDIUM,GBP,-,-,51.5,-,
ef879029-a199-4a9e-a5c5-67cfb8eaf033,01/04/2008,16:30,Average Hourly Earnings (MoM) (Dec),HIGH,USD,0.4%,-,0.3%,0.5%,
6514b766-8d08-4791-bd59-f4b2527881ef,01/04/2008,16:30,Average Hourly Earnings (YoY) (Dec),HIGH,USD,3.7%,-,3.6%,3.8%,
5449368b-3e88-4a45-bde6-21f4ae603d1e,01/04/2008,16:30,Average Weekly Hours (Dec),HIGH,USD,33.8,0,33.8,33.8,
6ad3be3e-f7d2-4928-8a92-30147c0e5b6d,01/04/2008,16:30,Nonfarm Payrolls (Dec),HIGH,USD,82K,-,70K,94K,
b4106dde-63c7-456a-bdd8-537537a98a2d,01/04/2008,16:30,Unemployment Rate (Dec),HIGH,USD,5%,-,4.8%,4.7%,
95b3d544-bdbc-4c71-bca0-c67d6b653dda,01/04/2008,18:00,Ivey Purchasing Managers Index (Dec),MEDIUM,CAD,45.9,-,51,58.7,
a3fda40d-7364-4c96-a365-10731d88cb55,01/04/2008,18:00,ISM Services PMI (Dec),MEDIUM,USD,53.9,-,53.5,54.1,
8278be1e-5880-4e7e-a6ef-3d45d4a1b4e3,01/07/2008,00:45,Trade Balance NZD (MoM) (Nov),HIGH,NZD,$-650M,-,$-465M,$-690M,
687f7a86-9f5a-48ed-a387-0bc41fd51d94,01/07/2008,09:45,Unemployment Rate s.a (MoM) (Dec),MEDIUM,CHF,2.8%,0,2.8%,2.7%,
5fa212af-1c5b-43e0-aa64-ac99a99c6ab7,01/07/2008,13:00,Consumer Confidence (Dec),LOW,EUR,-9,-,-8,-8,
9cab2d4b-04ce-4773-8a89-c62cf8382ff3,01/07/2008,13:00,Producer Price Index (MoM) (Nov),MEDIUM,EUR,0.9%,-,0.8%,0.6% ,
d26a4fa4-caa2-4c47-8eea-0f0b56c8dc49,01/07/2008,13:00,Producer Price Index (YoY) (Nov),MEDIUM,EUR,4.2%,-,4%,3.3%,
e3c00a5d-1e92-4ef9-8ff2-4a3170d53341,01/07/2008,13:00,Unemployment Rate (Nov),LOW,EUR,7.2%,0,7.2%,7.2%,
87e58b9c-c63b-46b2-a142-12ccf7c8750a,01/07/2008,15:00,ECB's President Trichet speech,MEDIUM,EUR,,,,,SPEECH
14cb2b5e-6142-41f6-a165-983755f5e847,01/07/2008,22:00,Treasury Secretary Paulson speech,LOW,USD,,,,,SPEECH
0e3b04ba-ed0d-4cfe-adfb-e5c7ab9c361a,01/08/2008,03:01,BRC Like-For-Like Retail Sales (YoY) (Dec),MEDIUM,GBP,0.3%,-,-,1.2%,
f450dcae-afbf-4849-958d-0674434858ac,01/08/2008,03:30,Building Permits (MoM) (Nov),MEDIUM,AUD,8.9%,-,0%,-2.8%,
fbbb9bb5-b237-4d9a-ad54-1a09b623dc43,01/08/2008,03:30,Building Permits (YoY) (Nov),MEDIUM,AUD,14.1%,-,-,-5.9% ,
d95643b7-9d7b-4838-9c13-d902f57086a6,01/08/2008,11:00,Halifax House Prices (MoM) (Dec),NONE,GBP,-0.2%,-,-0.5%,-1.1%,
1baf46ab-c459-4caa-91a4-7e5d2cbc9b8b,01/08/2008,11:00,Halifax House Prices (YoY/3m) (Dec),LOW,GBP,5.2%,-,4.7%,6.3%,
