datetime,entry,sell_proba,agent_technical,tech_reason,agent_fundamental,fund_reason,both_confirm
2026-03-06 00:00:00,157.501,0.2841712545055471,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-06 05:00:00,157.484,0.32478556100864947,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-06 10:00:00,157.651,0.33278542166396213,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-06 15:00:00,157.866,0.30653734720318127,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-09 05:00:00,158.703,0.2887064346344143,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-09 10:00:00,158.453,0.29062527885823847,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-09 17:00:00,158.379,0.2931914344077603,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-10 00:00:00,157.658,0.3083448152197198,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-10 05:00:00,157.804,0.3139064088382834,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-10 10:00:00,157.293,0.37770786733512596,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-10 15:00:00,157.803,0.3291191859617464,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-10 20:00:00,157.593,0.30545769287970237,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-11 01:00:00,158.157,0.2987777538109609,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-11 07:00:00,158.099,0.2937168300979676,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-11 12:00:00,158.468,0.3206496679768311,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-11 17:00:00,158.681,0.2917506800141506,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-11 23:00:00,158.931,0.2966110457638122,REJECT,Weak signal or uptrend conflict,REJECT,No clear catalyst found,False
2026-03-12 04:00:00,158.854,0.31804673893761903,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-12 09:00:00,158.898,0.38214140081492154,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-12 14:00:00,158.686,0.3777451318852791,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-12 19:00:00,159.2,0.29084979901123503,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-13 01:00:00,159.259,0.30887496337013703,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
2026-03-13 06:00:00,159.348,0.35113600281756796,REJECT,Weak signal or uptrend conflict,CONFIRM,Bearish macro catalyst cited,False
