feature,rf_imp,lgbm_imp,logreg_imp,is_noise,avg_imp,rf_vote,lgbm_vote,logreg_vote,total_votes
deviation_sum_24h,0.01658768850966694,2237,0.019002096891889773,False,1342.2068765162421,1,1,0,2
hours_since_last_high,0.01545540511443584,1900,0.027883142373370074,False,1140.0074249357715,1,1,0,2
atr_regime,0.025659557981909137,1897,0.15067186389642723,False,1138.2227650537843,1,1,1,3
adx_14,0.015351559362808376,1845,0.018905921013798635,False,1107.0064960599102,1,1,0,2
rolling_std_50,0.017487376829704002,1775,0.07857543679514767,False,1065.0131037567285,1,1,1,3
noise_random_walk,0.016021775918301454,1710,0.06989889906655623,True,1026.0117964226822,1,1,1,3
d1_rsi,0.01662153783847349,1656,0.024870478955643698,False,993.607473509247,1,1,0,2
close_vs_ema200,0.015614926847664653,1602,0.07778026834490354,False,961.2124625048887,1,1,1,3
d1_close_vs_ema20,0.016502139294135982,1459,0.04481391096045357,False,875.4094320328843,1,1,0,2
rolling_std_10,0.012655231446545812,1418,0.09027230460279062,False,850.8128237998942,1,1,1,3
minus_di,0.013198727040801652,1331,0.10942332714436097,False,798.6149019508267,1,1,1,3
high_events_next_24h,0.011584477511662358,1325,0.01635880473700959,False,795.0051112237272,1,1,0,2
obv,0.01437807056618783,1288,0.1482615054974718,False,772.8191395717196,1,1,1,3
close_vs_day_open,0.013217032931663798,1285,0.09791904050461693,False,771.0137570139299,1,1,1,3
macd_hist,0.014107706382273162,1219,0.15397232938277777,False,731.419629544853,1,1,1,3
rsi_lag_5,0.012122462261203342,1218,0.05773760564298374,False,730.8094104992426,1,1,1,3
volume_ratio,0.012703140730272261,1216,0.04405934467124735,False,729.6082168766862,1,1,0,2
plus_di,0.011733266619832943,1174,0.05128024594961907,False,704.4086480045809,1,1,1,3
noise_sinusoidal,0.01127368572708762,1170,0.09941963304449303,True,702.0133240690226,1,1,1,3
volume_lag_5,0.010490804616812725,1129,0.003500263297738615,False,677.4034972677148,0,1,0,1
macd_sig,0.01444886604554106,1117,0.09431400099202823,False,670.2137660599128,1,1,1,3
volume_lag_1,0.010245266738426994,1100,0.004847301810263313,False,660.0035583102026,0,1,0,1
bb_width,0.012720164906158038,1099,0.598779231885517,False,659.4636939726604,1,1,1,3
noise_gaussian_1,0.009295817205461687,1089,0.010098886203583464,True,653.403798633782,0,1,0,1
noise_uniform_2,0.009583828281285605,1078,0.007096379488734157,True,646.8035847864331,0,1,0,1
stoch_d,0.010952228261227737,1076,0.14085492332819485,False,645.6173711608112,1,1,1,3
noise_uniform_1,0.009493429635162134,1065,0.0025009572150532853,True,639.003098124612,0,1,0,1
macd,0.013318950825156894,1052,0.13490361784413657,False,631.2174860470319,1,1,1,3
noise_gaussian_3,0.009273429408339764,1049,0.02210424331169613,True,629.4049924531537,0,1,0,1
return_5b,0.011558912131259773,1035,0.02155100919109604,False,621.0056227745586,1,1,0,2
noise_gaussian_2,0.009376851213249946,1031,0.007131264360572386,True,618.6035261818,0,1,0,1
close_vs_ema50,0.013145361604781762,1023,0.27939314599450055,False,613.8318829230808,1,1,1,3
rolling_std_20,0.012558315383909951,1017,0.674623560014053,False,610.2712298506166,1,1,1,3
volume_lag_3,0.011164730313083161,1017,0.046807881326794004,False,610.2080302072266,1,1,0,2
lower_wick,0.008945329425799786,1011,0.029957069836213882,False,606.6056793058113,0,1,0,1
upper_wick,0.008698308005587166,1011,0.017769925148804697,False,606.6043864849166,0,1,0,1
